step	attack	AUROC
170	no_attack	0.9922
170	t5_paraphrase	0.9800
170	synonym_replacement	0.9938
170	homoglyphs	0.9927
170	article_deletion	0.9936
170	misspelling	0.9951
175	no_attack	0.9883
175	t5_paraphrase	0.9800
175	synonym_replacement	0.9917
175	homoglyphs	0.9986
175	article_deletion	0.9908
175	misspelling	0.9935
180	no_attack	0.9775
180	t5_paraphrase	0.9600
180	synonym_replacement	0.9820
180	homoglyphs	0.9840
180	article_deletion	0.9834
180	misspelling	0.9857
185	no_attack	0.9894
185	t5_paraphrase	0.9800
185	synonym_replacement	0.9917
185	homoglyphs	0.9944
185	article_deletion	0.9938
185	misspelling	0.9950
190	no_attack	0.9864
190	t5_paraphrase	0.9800
190	synonym_replacement	0.9903
190	homoglyphs	0.9900
190	article_deletion	0.9913
190	misspelling	0.9910
195	no_attack	0.9801
195	t5_paraphrase	0.9800
195	synonym_replacement	0.9867
195	homoglyphs	0.9914
195	article_deletion	0.9864
195	misspelling	0.9865
200	no_attack	0.9863
200	t5_paraphrase	0.9800
200	synonym_replacement	0.9870
200	homoglyphs	0.9922
200	article_deletion	0.9876
200	misspelling	0.9871
