step	generator	AUROC
90	cohere-chat	0.9891
90	gpt2	0.9911
90	gpt3	0.9905
90	gpt4	0.9967
90	llama-chat	0.9962
90	mistral	0.9879
90	mistral-chat	0.9946
90	mpt	0.9725
90	mpt-chat	0.9928
90	MACRO_AVG	0.9898
95	chatgpt	0.9948
95	cohere	0.9826
95	cohere-chat	0.9894
95	gpt2	0.9924
95	gpt3	0.9934
95	gpt4	0.9971
95	llama-chat	0.9962
95	mistral	0.9892
95	mistral-chat	0.9957
95	mpt	0.9782
95	mpt-chat	0.9947
95	MACRO_AVG	0.9913
100	chatgpt	0.9912
100	cohere	0.9776
100	cohere-chat	0.9859
100	gpt2	0.9899
100	gpt3	0.9907
100	gpt4	0.9943
100	llama-chat	0.9920
100	mistral	0.9866
100	mistral-chat	0.9924
100	mpt	0.9766
100	mpt-chat	0.9919
100	MACRO_AVG	0.9881
105	chatgpt	0.9911
105	cohere	0.9766
105	cohere-chat	0.9870
105	gpt2	0.9892
105	gpt3	0.9910
105	gpt4	0.9923
105	llama-chat	0.9906
105	mistral	0.9852
105	mistral-chat	0.9922
105	mpt	0.9771
105	mpt-chat	0.9932
105	MACRO_AVG	0.9878
110	chatgpt	0.9920
110	cohere	0.9797
110	cohere-chat	0.9893
110	gpt2	0.9893
110	gpt3	0.9917
110	gpt4	0.9946
110	llama-chat	0.9935
110	mistral	0.9868
110	mistral-chat	0.9937
110	mpt	0.9771
110	mpt-chat	0.9923
110	MACRO_AVG	0.9891
115	chatgpt	0.9974
115	cohere	0.9826
115	cohere-chat	0.9924
115	gpt2	0.9937
115	gpt3	0.9968
115	gpt4	0.9984
115	llama-chat	0.9977
115	mistral	0.9913
115	mistral-chat	0.9981
115	mpt	0.9850
115	mpt-chat	0.9979
115	MACRO_AVG	0.9938
120	chatgpt	0.9872
120	cohere	0.9721
120	cohere-chat	0.9816
120	gpt2	0.9860
120	gpt3	0.9859
120	gpt4	0.9873
120	llama-chat	0.9852
120	mistral	0.9843
120	mistral-chat	0.9872
120	mpt	0.9795
120	mpt-chat	0.9909
120	MACRO_AVG	0.9843
125	chatgpt	0.9889
125	cohere	0.9728
125	cohere-chat	0.9833
125	gpt2	0.9873
125	gpt3	0.9896
125	gpt4	0.9889
125	llama-chat	0.9882
125	mistral	0.9867
125	mistral-chat	0.9893
125	mpt	0.9822
125	mpt-chat	0.9918
125	MACRO_AVG	0.9863
130	chatgpt	0.9935
130	cohere	0.9811
130	cohere-chat	0.9897
130	gpt2	0.9913
130	gpt3	0.9936
130	gpt4	0.9945
130	llama-chat	0.9943
130	mistral	0.9889
130	mistral-chat	0.9944
130	mpt	0.9811
130	mpt-chat	0.9948
130	MACRO_AVG	0.9907
135	chatgpt	0.9864
135	cohere	0.9749
135	cohere-chat	0.9821
135	gpt2	0.9841
135	gpt3	0.9862
135	gpt4	0.9855
135	llama-chat	0.9850
135	mistral	0.9820
135	mistral-chat	0.9863
135	mpt	0.9764
135	mpt-chat	0.9893
135	MACRO_AVG	0.9835
140	chatgpt	0.9858
140	cohere	0.9747
140	cohere-chat	0.9829
140	gpt2	0.9862
140	gpt3	0.9873
140	gpt4	0.9869
140	llama-chat	0.9869
140	mistral	0.9822
140	mistral-chat	0.9870
140	mpt	0.9802
140	mpt-chat	0.9881
140	MACRO_AVG	0.9844
145	chatgpt	0.9882
145	cohere	0.9754
145	cohere-chat	0.9851
145	gpt2	0.9876
145	gpt3	0.9865
145	gpt4	0.9892
145	llama-chat	0.9899
145	mistral	0.9829
145	mistral-chat	0.9885
145	mpt	0.9778
145	mpt-chat	0.9888
145	MACRO_AVG	0.9854
150	chatgpt	0.9923
150	cohere	0.9795
150	cohere-chat	0.9892
150	gpt2	0.9909
150	gpt3	0.9910
150	gpt4	0.9931
150	llama-chat	0.9927
150	mistral	0.9870
150	mistral-chat	0.9930
150	mpt	0.9806
150	mpt-chat	0.9941
150	MACRO_AVG	0.9894
155	chatgpt	0.9974
155	cohere	0.9821
155	cohere-chat	0.9919
155	gpt2	0.9956
155	gpt3	0.9951
155	gpt4	0.9980
155	llama-chat	0.9979
155	mistral	0.9906
155	mistral-chat	0.9978
155	mpt	0.9877
155	mpt-chat	0.9980
155	MACRO_AVG	0.9938
160	chatgpt	0.9975
160	cohere	0.9810
160	cohere-chat	0.9885
160	gpt2	0.9952
160	gpt3	0.9946
160	gpt4	0.9977
160	llama-chat	0.9977
160	mistral	0.9889
160	mistral-chat	0.9977
160	mpt	0.9865
160	mpt-chat	0.9983
160	MACRO_AVG	0.9931
165	chatgpt	0.9991
165	cohere	0.9802
165	cohere-chat	0.9899
165	gpt2	0.9952
165	gpt3	0.9972
165	gpt4	0.9996
165	llama-chat	0.9995
165	mistral	0.9906
165	mistral-chat	0.9993
165	mpt	0.9835
165	mpt-chat	0.9996
165	MACRO_AVG	0.9940
170	chatgpt	0.9918
170	cohere	0.9799
170	cohere-chat	0.9889
170	gpt2	0.9922
170	gpt3	0.9918
170	gpt4	0.9932
170	llama-chat	0.9924
170	mistral	0.9904
170	mistral-chat	0.9930
170	mpt	0.9863
170	mpt-chat	0.9943
170	MACRO_AVG	0.9904
175	chatgpt	0.9876
175	cohere	0.9767
175	cohere-chat	0.9857
175	gpt2	0.9888
175	gpt3	0.9898
175	gpt4	0.9895
175	llama-chat	0.9884
175	mistral	0.9884
175	mistral-chat	0.9897
175	mpt	0.9845
175	mpt-chat	0.9919
175	MACRO_AVG	0.9874
180	chatgpt	0.9768
180	cohere	0.9691
180	cohere-chat	0.9775
180	gpt2	0.9786
180	gpt3	0.9808
180	gpt4	0.9796
180	llama-chat	0.9778
180	mistral	0.9792
180	mistral-chat	0.9800
180	mpt	0.9754
180	mpt-chat	0.9842
180	MACRO_AVG	0.9781
185	chatgpt	0.9890
185	cohere	0.9786
185	cohere-chat	0.9871
185	gpt2	0.9890
185	gpt3	0.9916
185	gpt4	0.9903
185	llama-chat	0.9895
185	mistral	0.9884
185	mistral-chat	0.9907
185	mpt	0.9846
185	mpt-chat	0.9929
185	MACRO_AVG	0.9883
190	chatgpt	0.9859
190	cohere	0.9765
190	cohere-chat	0.9847
190	gpt2	0.9858
190	gpt3	0.9886
190	gpt4	0.9868
190	llama-chat	0.9865
190	mistral	0.9853
190	mistral-chat	0.9877
190	mpt	0.9825
190	mpt-chat	0.9903
190	MACRO_AVG	0.9855
195	chatgpt	0.9787
195	cohere	0.9728
195	cohere-chat	0.9805
195	gpt2	0.9813
195	gpt3	0.9841
195	gpt4	0.9804
195	llama-chat	0.9803
195	mistral	0.9812
195	mistral-chat	0.9822
195	mpt	0.9797
195	mpt-chat	0.9858
195	MACRO_AVG	0.9806
200	chatgpt	0.9840
200	cohere	0.9753
200	cohere-chat	0.9834
200	gpt2	0.9854
200	gpt3	0.9870
200	gpt4	0.9861
200	llama-chat	0.9865
200	mistral	0.9839
200	mistral-chat	0.9868
200	mpt	0.9818
200	mpt-chat	0.9878
200	MACRO_AVG	0.9843
