step	attack	AUROC
1	no_attack	0.1989
1	t5_paraphrase	0.0000
1	synonym_replacement	0.0766
1	homoglyphs	0.0773
1	article_deletion	0.3613
1	misspelling	0.3319
1	number_swap	0.2056
1	whitespace_addition	0.3034
1	upper_lower_swap	0.1249
1	zero_width_space	0.1517
1	insert_paragraphs	0.2114
1	alternative_spelling	0.2065
5	no_attack	0.4223
5	t5_paraphrase	0.5200
5	synonym_replacement	0.5705
5	homoglyphs	0.4665
5	article_deletion	0.4638
5	misspelling	0.5869
5	number_swap	0.4412
5	whitespace_addition	0.3822
5	upper_lower_swap	0.6550
5	zero_width_space	0.5585
5	insert_paragraphs	0.4722
5	alternative_spelling	0.4343
10	no_attack	0.8786
10	t5_paraphrase	0.9800
10	synonym_replacement	0.9036
10	homoglyphs	0.9695
10	article_deletion	0.7183
10	misspelling	0.8220
10	number_swap	0.8827
10	whitespace_addition	0.8372
10	upper_lower_swap	0.9622
10	zero_width_space	0.9652
10	insert_paragraphs	0.8403
10	alternative_spelling	0.8798
15	no_attack	0.9052
15	t5_paraphrase	0.3000
15	synonym_replacement	0.4920
15	homoglyphs	0.9681
15	article_deletion	0.7449
15	misspelling	0.7869
15	number_swap	0.9082
15	whitespace_addition	0.9403
15	upper_lower_swap	0.9594
15	zero_width_space	0.9672
15	insert_paragraphs	0.8533
15	alternative_spelling	0.9048
20	no_attack	0.9933
20	t5_paraphrase	0.9800
20	synonym_replacement	0.9909
20	homoglyphs	0.9999
20	article_deletion	0.8043
20	misspelling	0.9538
20	number_swap	0.9941
20	whitespace_addition	0.9982
20	upper_lower_swap	0.9995
20	zero_width_space	0.9999
20	insert_paragraphs	0.9453
20	alternative_spelling	0.9931
25	no_attack	0.9954
25	t5_paraphrase	1.0000
25	synonym_replacement	0.9922
25	homoglyphs	1.0000
25	article_deletion	0.8822
25	misspelling	0.9746
25	number_swap	0.9961
25	whitespace_addition	0.9990
25	upper_lower_swap	0.9998
25	zero_width_space	0.9999
25	insert_paragraphs	0.9656
25	alternative_spelling	0.9953
30	no_attack	0.9975
30	t5_paraphrase	1.0000
30	synonym_replacement	0.9939
30	homoglyphs	1.0000
30	article_deletion	0.9490
30	misspelling	0.9855
30	number_swap	0.9975
30	whitespace_addition	0.9995
30	upper_lower_swap	0.9998
30	zero_width_space	1.0000
30	insert_paragraphs	0.9825
30	alternative_spelling	0.9975
35	no_attack	0.9959
35	t5_paraphrase	0.9800
35	synonym_replacement	0.9817
