step	generator	AUROC	TPR_at_1pct_FPR
1	chatgpt	0.2695	0.0000
1	cohere	0.3561	0.0007
1	cohere-chat	0.2933	0.0007
1	gpt2	0.3574	0.0081
1	gpt3	0.2848	0.0008
1	gpt4	0.2651	0.0004
1	llama-chat	0.2051	0.0000
1	mistral	0.3686	0.0069
1	mistral-chat	0.2606	0.0006
1	mpt	0.2072	0.0034
1	mpt-chat	0.2854	0.0006
1	MACRO_AVG	0.2866	0.0020
1	GLOBAL_TPR_AT_1FPR	-	0.0024
5	chatgpt	0.3871	0.0007
5	cohere	0.4597	0.0000
5	cohere-chat	0.4102	0.0000
5	gpt2	0.5377	0.0009
5	gpt3	0.4371	0.0004
5	gpt4	0.4345	0.0004
5	llama-chat	0.4255	0.0000
5	mistral	0.5083	0.0021
5	mistral-chat	0.3842	0.0002
5	mpt	0.5670	0.0023
5	mpt-chat	0.4250	0.0000
5	MACRO_AVG	0.4524	0.0006
5	GLOBAL_TPR_AT_1FPR	-	0.0007
10	chatgpt	0.8398	0.1672
10	cohere	0.7222	0.0667
10	cohere-chat	0.7528	0.0633
10	gpt2	0.7550	0.1772
10	gpt3	0.7650	0.0786
10	gpt4	0.8877	0.1774
10	llama-chat	0.8765	0.2384
10	mistral	0.6451	0.1107
10	mistral-chat	0.8010	0.1006
10	mpt	0.7285	0.1651
10	mpt-chat	0.6258	0.0443
10	MACRO_AVG	0.7636	0.1263
10	GLOBAL_TPR_AT_1FPR	-	0.1309
15	chatgpt	0.9323	0.2959
15	cohere	0.8036	0.1596
15	cohere-chat	0.8317	0.1475
15	gpt2	0.7717	0.1780
15	gpt3	0.8251	0.1376
15	gpt4	0.9530	0.3956
15	llama-chat	0.9058	0.3723
15	mistral	0.6947	0.1375
15	mistral-chat	0.8916	0.2347
15	mpt	0.4805	0.1136
15	mpt-chat	0.7299	0.1258
15	MACRO_AVG	0.8018	0.2089
15	GLOBAL_TPR_AT_1FPR	-	0.2037
20	chatgpt	0.9599	0.6349
20	cohere	0.9082	0.5700
20	cohere-chat	0.9419	0.5870
20	gpt2	0.9156	0.5401
20	gpt3	0.9560	0.6545
20	gpt4	0.9785	0.8424
20	llama-chat	0.9924	0.8753
20	mistral	0.8779	0.4988
20	mistral-chat	0.9702	0.7013
20	mpt	0.8764	0.2864
20	mpt-chat	0.9094	0.4471
20	MACRO_AVG	0.9351	0.6034
20	GLOBAL_TPR_AT_1FPR	-	0.5880
25	chatgpt	0.9747	0.6412
25	cohere	0.9348	0.5813
25	cohere-chat	0.9525	0.6013
25	gpt2	0.9293	0.5874
25	gpt3	0.9739	0.6838
25	gpt4	0.9897	0.8492
25	llama-chat	0.9950	0.8882
25	mistral	0.8998	0.5429
25	mistral-chat	0.9821	0.7209
25	mpt	0.9328	0.3225
25	mpt-chat	0.9543	0.4874
25	MACRO_AVG	0.9563	0.6278
25	GLOBAL_TPR_AT_1FPR	-	0.6155
30	chatgpt	0.9876	0.7116
30	cohere	0.9613	0.6674
30	cohere-chat	0.9742	0.7031
30	gpt2	0.9485	0.6887
30	gpt3	0.9828	0.7331
30	gpt4	0.9940	0.8750
30	llama-chat	0.9976	0.9336
30	mistral	0.9302	0.6138
30	mistral-chat	0.9906	0.8082
30	mpt	0.9376	0.3651
30	mpt-chat	0.9787	0.5951
30	MACRO_AVG	0.9712	0.6995
30	GLOBAL_TPR_AT_1FPR	-	0.6887
35	chatgpt	0.9918	0.6730
35	cohere	0.9628	0.6772
35	cohere-chat	0.9775	0.6866
35	gpt2	0.9566	0.5911
35	gpt3	0.9834	0.6432
35	gpt4	0.9958	0.8638
35	llama-chat	0.9959	0.9273
35	mistral	0.9276	0.5627
35	mistral-chat	0.9920	0.7573
35	mpt	0.9297	0.2480
35	mpt-chat	0.9779	0.4767
35	MACRO_AVG	0.9719	0.6461
35	GLOBAL_TPR_AT_1FPR	-	0.6283
40	chatgpt	0.9954	0.8272
40	cohere	0.9722	0.7150
40	cohere-chat	0.9818	0.7589
40	gpt2	0.9661	0.6952
40	gpt3	0.9911	0.7188
40	gpt4	0.9984	0.9409
40	llama-chat	0.9974	0.9364
40	mistral	0.9567	0.6404
40	mistral-chat	0.9955	0.8620
40	mpt	0.9446	0.3016
40	mpt-chat	0.9876	0.6431
40	MACRO_AVG	0.9806	0.7309
40	GLOBAL_TPR_AT_1FPR	-	0.7135
45	chatgpt	0.9965	0.9450
45	cohere	0.9727	0.7476
45	cohere-chat	0.9831	0.8094
45	gpt2	0.9728	0.7491
45	gpt3	0.9915	0.7970
45	gpt4	0.9988	0.9794
45	llama-chat	0.9974	0.9415
45	mistral	0.9569	0.6746
45	mistral-chat	0.9962	0.9200
45	mpt	0.9512	0.3363
45	mpt-chat	0.9889	0.7984
45	MACRO_AVG	0.9824	0.7907
45	GLOBAL_TPR_AT_1FPR	-	0.7723
50	chatgpt	0.9961	0.9349
50	cohere	0.9737	0.7517
50	cohere-chat	0.9828	0.8016
50	gpt2	0.9784	0.7543
50	gpt3	0.9910	0.7853
50	gpt4	0.9986	0.9865
50	llama-chat	0.9968	0.9411
50	mistral	0.9628	0.6836
50	mistral-chat	0.9958	0.9118
50	mpt	0.9562	0.3420
50	mpt-chat	0.9902	0.7551
50	MACRO_AVG	0.9839	0.7862
50	GLOBAL_TPR_AT_1FPR	-	0.7674
55	chatgpt	0.9946	0.8620
55	cohere	0.9712	0.7558
55	cohere-chat	0.9809	0.7739
55	gpt2	0.9780	0.7264
55	gpt3	0.9894	0.7654
55	gpt4	0.9975	0.9888
55	llama-chat	0.9948	0.9355
55	mistral	0.9653	0.6837
55	mistral-chat	0.9944	0.8794
55	mpt	0.9550	0.3496
55	mpt-chat	0.9892	0.6690
55	MACRO_AVG	0.9828	0.7627
55	GLOBAL_TPR_AT_1FPR	-	0.7437
60	chatgpt	0.9950	0.8919
60	cohere	0.9756	0.7779
60	cohere-chat	0.9837	0.7963
60	gpt2	0.9814	0.7671
60	gpt3	0.9914	0.7929
60	gpt4	0.9974	0.9914
60	llama-chat	0.9956	0.9390
60	mistral	0.9741	0.7090
60	mistral-chat	0.9953	0.8966
60	mpt	0.9585	0.3784
60	mpt-chat	0.9914	0.7026
60	MACRO_AVG	0.9854	0.7857
60	GLOBAL_TPR_AT_1FPR	-	0.7674
65	chatgpt	0.9981	0.9652
65	cohere	0.9701	0.7974
65	cohere-chat	0.9821	0.8506
65	gpt2	0.9852	0.8539
65	gpt3	0.9939	0.8797
65	gpt4	0.9996	0.9918
65	llama-chat	0.9980	0.9435
65	mistral	0.9774	0.7544
65	mistral-chat	0.9978	0.9534
65	mpt	0.9710	0.6136
65	mpt-chat	0.9951	0.8938
65	MACRO_AVG	0.9880	0.8634
65	GLOBAL_TPR_AT_1FPR	-	0.8539
70	chatgpt	0.9934	0.7920
70	cohere	0.9774	0.7566
70	cohere-chat	0.9842	0.7664
70	gpt2	0.9817	0.7586
70	gpt3	0.9894	0.7835
70	gpt4	0.9963	0.9274
70	llama-chat	0.9932	0.8829
70	mistral	0.9744	0.7339
70	mistral-chat	0.9938	0.8577
70	mpt	0.9544	0.3873
70	mpt-chat	0.9890	0.6692
70	MACRO_AVG	0.9843	0.7559
70	GLOBAL_TPR_AT_1FPR	-	0.7420
75	chatgpt	0.9990	0.9877
75	cohere	0.9801	0.8457
75	cohere-chat	0.9879	0.8809
75	gpt2	0.9890	0.8693
75	gpt3	0.9959	0.9083
75	gpt4	0.9998	0.9974
75	llama-chat	0.9984	0.9478
75	mistral	0.9831	0.7892
75	mistral-chat	0.9987	0.9680
75	mpt	0.9755	0.5864
75	mpt-chat	0.9968	0.9347
75	MACRO_AVG	0.9913	0.8832
75	GLOBAL_TPR_AT_1FPR	-	0.8716
80	chatgpt	0.9953	0.8866
80	cohere	0.9769	0.8112
80	cohere-chat	0.9847	0.8124
80	gpt2	0.9866	0.8044
80	gpt3	0.9914	0.8158
