step	attack	AUROC
190	misspelling	0.9987
195	no_attack	0.9938
195	t5_paraphrase	1.0000
195	synonym_replacement	0.9960
195	homoglyphs	0.9970
195	article_deletion	0.9957
195	misspelling	0.9949
200	no_attack	0.9970
200	t5_paraphrase	1.0000
200	synonym_replacement	0.9975
200	homoglyphs	0.9989
200	article_deletion	0.9975
200	misspelling	0.9975
