step	generator	AUROC	TPR_at_1pct_FPR
135	o3-mini	0.9992	0.9773
135	qwen1.5-72b-chat-8bit	1.0000	1.0000
135	text-bison-002	0.9992	0.9710
135	MACRO_AVG	0.9951	0.9416
135	GLOBAL_TPR_AT_1FPR	-	0.9433
140	deepseek-r1-distill-qwen-32b	0.9987	0.9623
140	falcon3-10b-instruct	0.9984	0.9912
140	gemini-1.5-pro	0.9582	0.8138
140	gemini-2.0-flash	0.9960	0.9353
140	gemini-pro	0.9968	0.8983
140	gemini-pro-paraphrase	0.9916	0.8429
140	gpt-3.5-turbo	0.9998	0.9900
140	gpt-4-turbo	0.9995	0.9841
140	gpt-4-turbo-paraphrase	0.9989	0.9661
140	gpt-4.5-preview	0.9896	0.8444
140	gpt-4o	0.9998	0.9904
140	gpt-4o-mini	0.9999	0.9953
140	llama-2-70b-chat	1.0000	1.0000
140	llama-2-7b-chat	0.9990	0.9722
140	llama-3.1-8b-instruct	0.9748	0.7911
140	llama-3.3-70b-instruct	0.9979	0.9630
140	ministral-8b-instruct-2410	0.9972	0.9424
140	mistral-7b-instruct-v0.2	0.9989	0.9412
140	mixtral-8x7b-instruct-v0.1	0.9980	0.9429
140	o3-mini	0.9992	0.9773
140	qwen1.5-72b-chat-8bit	1.0000	1.0000
140	text-bison-002	0.9992	0.9710
140	MACRO_AVG	0.9951	0.9416
140	GLOBAL_TPR_AT_1FPR	-	0.9433
145	deepseek-r1-distill-qwen-32b	0.9987	0.9623
145	falcon3-10b-instruct	0.9984	0.9912
145	gemini-1.5-pro	0.9582	0.8138
145	gemini-2.0-flash	0.9960	0.9353
145	gemini-pro	0.9968	0.8983
145	gemini-pro-paraphrase	0.9916	0.8429
145	gpt-3.5-turbo	0.9998	0.9900
145	gpt-4-turbo	0.9995	0.9841
145	gpt-4-turbo-paraphrase	0.9989	0.9661
145	gpt-4.5-preview	0.9896	0.8444
145	gpt-4o	0.9998	0.9904
145	gpt-4o-mini	0.9999	0.9953
145	llama-2-70b-chat	1.0000	1.0000
145	llama-2-7b-chat	0.9990	0.9722
145	llama-3.1-8b-instruct	0.9748	0.7911
145	llama-3.3-70b-instruct	0.9979	0.9630
145	ministral-8b-instruct-2410	0.9972	0.9424
145	mistral-7b-instruct-v0.2	0.9989	0.9412
145	mixtral-8x7b-instruct-v0.1	0.9980	0.9429
145	o3-mini	0.9992	0.9773
145	qwen1.5-72b-chat-8bit	1.0000	1.0000
145	text-bison-002	0.9992	0.9710
145	MACRO_AVG	0.9951	0.9416
145	GLOBAL_TPR_AT_1FPR	-	0.9433
150	deepseek-r1-distill-qwen-32b	0.9987	0.9623
150	falcon3-10b-instruct	0.9984	0.9912
150	gemini-1.5-pro	0.9582	0.8138
150	gemini-2.0-flash	0.9960	0.9353
150	gemini-pro	0.9968	0.8983
150	gemini-pro-paraphrase	0.9916	0.8429
150	gpt-3.5-turbo	0.9998	0.9900
150	gpt-4-turbo	0.9995	0.9841
150	gpt-4-turbo-paraphrase	0.9989	0.9661
150	gpt-4.5-preview	0.9896	0.8444
150	gpt-4o	0.9998	0.9904
150	gpt-4o-mini	0.9999	0.9953
150	llama-2-70b-chat	1.0000	1.0000
150	llama-2-7b-chat	0.9990	0.9722
150	llama-3.1-8b-instruct	0.9748	0.7911
150	llama-3.3-70b-instruct	0.9979	0.9630
150	ministral-8b-instruct-2410	0.9972	0.9424
150	mistral-7b-instruct-v0.2	0.9989	0.9412
150	mixtral-8x7b-instruct-v0.1	0.9980	0.9429
150	o3-mini	0.9992	0.9773
150	qwen1.5-72b-chat-8bit	1.0000	1.0000
150	text-bison-002	0.9992	0.9710
150	MACRO_AVG	0.9951	0.9416
150	GLOBAL_TPR_AT_1FPR	-	0.9433
155	deepseek-r1-distill-qwen-32b	0.9987	0.9623
155	falcon3-10b-instruct	0.9984	0.9912
155	gemini-1.5-pro	0.9582	0.8138
155	gemini-2.0-flash	0.9960	0.9353
155	gemini-pro	0.9968	0.8983
155	gemini-pro-paraphrase	0.9916	0.8429
155	gpt-3.5-turbo	0.9998	0.9900
155	gpt-4-turbo	0.9995	0.9841
155	gpt-4-turbo-paraphrase	0.9989	0.9661
155	gpt-4.5-preview	0.9896	0.8444
155	gpt-4o	0.9998	0.9904
155	gpt-4o-mini	0.9999	0.9953
155	llama-2-70b-chat	1.0000	1.0000
155	llama-2-7b-chat	0.9990	0.9722
155	llama-3.1-8b-instruct	0.9748	0.7911
155	llama-3.3-70b-instruct	0.9979	0.9630
155	ministral-8b-instruct-2410	0.9972	0.9424
155	mistral-7b-instruct-v0.2	0.9989	0.9412
155	mixtral-8x7b-instruct-v0.1	0.9980	0.9429
155	o3-mini	0.9992	0.9773
