step	attack	AUROC
1	no_attack	0.3165
1	t5_paraphrase	0.0000
1	synonym_replacement	0.2712
1	homoglyphs	0.1707
1	article_deletion	0.4657
1	misspelling	0.4638
1	number_swap	0.3185
1	whitespace_addition	0.4909
1	upper_lower_swap	0.3105
1	zero_width_space	0.3505
1	insert_paragraphs	0.3142
1	alternative_spelling	0.3363
5	no_attack	0.5425
5	t5_paraphrase	0.0800
5	synonym_replacement	0.5340
5	homoglyphs	0.4574
5	article_deletion	0.6669
5	misspelling	0.7923
5	number_swap	0.5515
5	whitespace_addition	0.5040
5	upper_lower_swap	0.8124
5	zero_width_space	0.6447
5	insert_paragraphs	0.5787
5	alternative_spelling	0.5639
10	no_attack	0.8610
10	t5_paraphrase	0.8400
10	synonym_replacement	0.8786
10	homoglyphs	0.9575
10	article_deletion	0.9057
10	misspelling	0.9181
10	number_swap	0.8608
10	whitespace_addition	0.8745
10	upper_lower_swap	0.9392
10	zero_width_space	0.9296
10	insert_paragraphs	0.8768
10	alternative_spelling	0.8608
15	no_attack	0.8488
15	t5_paraphrase	0.7000
15	synonym_replacement	0.9024
15	homoglyphs	0.9922
15	article_deletion	0.9143
15	misspelling	0.9302
15	number_swap	0.8489
15	whitespace_addition	0.8517
15	upper_lower_swap	0.9634
15	zero_width_space	0.9626
15	insert_paragraphs	0.8731
15	alternative_spelling	0.8492
20	no_attack	0.9170
20	t5_paraphrase	0.7000
20	synonym_replacement	0.9524
20	homoglyphs	0.9944
20	article_deletion	0.9470
20	misspelling	0.9482
20	number_swap	0.9169
20	whitespace_addition	0.9421
20	upper_lower_swap	0.9794
20	zero_width_space	0.9829
20	insert_paragraphs	0.9215
20	alternative_spelling	0.9171
25	no_attack	0.9668
25	t5_paraphrase	0.7000
25	synonym_replacement	0.9685
25	homoglyphs	0.9980
25	article_deletion	0.9805
25	misspelling	0.9811
25	number_swap	0.9668
25	whitespace_addition	0.9819
25	upper_lower_swap	0.9925
25	zero_width_space	0.9935
25	insert_paragraphs	0.9685
25	alternative_spelling	0.9670
30	no_attack	0.9856
30	t5_paraphrase	0.7200
30	synonym_replacement	0.9773
30	homoglyphs	0.9979
30	article_deletion	0.9875
30	misspelling	0.9880
30	number_swap	0.9855
30	whitespace_addition	0.9913
30	upper_lower_swap	0.9952
30	zero_width_space	0.9954
30	insert_paragraphs	0.9854
30	alternative_spelling	0.9857
35	no_attack	0.9934
35	t5_paraphrase	0.9800
35	synonym_replacement	0.9985
