step	attack	AUROC
1	no_attack	0.2882
1	t5_paraphrase	0.0200
1	synonym_replacement	0.1226
1	homoglyphs	0.1711
1	article_deletion	0.3795
1	misspelling	0.3578
1	number_swap	0.2926
1	whitespace_addition	0.3559
1	upper_lower_swap	0.2146
1	zero_width_space	0.2541
1	insert_paragraphs	0.2962
1	alternative_spelling	0.2913
5	no_attack	0.4568
5	t5_paraphrase	0.4400
5	synonym_replacement	0.4659
5	homoglyphs	0.3878
5	article_deletion	0.4817
5	misspelling	0.5564
5	number_swap	0.4751
5	whitespace_addition	0.4293
5	upper_lower_swap	0.5886
5	zero_width_space	0.5296
5	insert_paragraphs	0.4848
5	alternative_spelling	0.4626
10	no_attack	0.6314
10	t5_paraphrase	0.7200
10	synonym_replacement	0.3481
10	homoglyphs	0.6048
10	article_deletion	0.5218
10	misspelling	0.5543
10	number_swap	0.6325
10	whitespace_addition	0.5965
10	upper_lower_swap	0.5966
10	zero_width_space	0.6419
10	insert_paragraphs	0.6050
10	alternative_spelling	0.6317
15	no_attack	0.6982
15	t5_paraphrase	0.0800
15	synonym_replacement	0.2505
15	homoglyphs	0.7604
15	article_deletion	0.5567
15	misspelling	0.5809
15	number_swap	0.6945
15	whitespace_addition	0.7035
15	upper_lower_swap	0.6856
15	zero_width_space	0.7383
15	insert_paragraphs	0.6532
15	alternative_spelling	0.6981
20	no_attack	0.8983
20	t5_paraphrase	0.9600
20	synonym_replacement	0.9234
20	homoglyphs	0.9933
20	article_deletion	0.6903
20	misspelling	0.8190
20	number_swap	0.9041
20	whitespace_addition	0.9459
20	upper_lower_swap	0.9779
20	zero_width_space	0.9879
20	insert_paragraphs	0.8440
20	alternative_spelling	0.8985
25	no_attack	0.9249
25	t5_paraphrase	0.9600
25	synonym_replacement	0.9555
25	homoglyphs	0.9969
25	article_deletion	0.7137
25	misspelling	0.8397
25	number_swap	0.9301
25	whitespace_addition	0.9672
25	upper_lower_swap	0.9900
25	zero_width_space	0.9948
25	insert_paragraphs	0.8648
25	alternative_spelling	0.9246
30	no_attack	0.9506
30	t5_paraphrase	0.9400
30	synonym_replacement	0.9389
30	homoglyphs	0.9959
30	article_deletion	0.8090
30	misspelling	0.8733
30	number_swap	0.9534
30	whitespace_addition	0.9767
30	upper_lower_swap	0.9904
30	zero_width_space	0.9942
30	insert_paragraphs	0.9136
30	alternative_spelling	0.9502
35	no_attack	0.9551
35	t5_paraphrase	0.9400
35	synonym_replacement	0.9355
35	homoglyphs	0.9943
35	article_deletion	0.8475
35	misspelling	0.9087
35	number_swap	0.9579
35	whitespace_addition	0.9752
35	upper_lower_swap	0.9887
35	zero_width_space	0.9929
35	insert_paragraphs	0.9239
35	alternative_spelling	0.9545
40	no_attack	0.9687
40	t5_paraphrase	0.9600
40	synonym_replacement	0.9701
40	homoglyphs	0.9971
40	article_deletion	0.8997
40	misspelling	0.9428
40	number_swap	0.9701
40	whitespace_addition	0.9815
40	upper_lower_swap	0.9946
40	zero_width_space	0.9963
40	insert_paragraphs	0.9484
40	alternative_spelling	0.9683
45	no_attack	0.9715
45	t5_paraphrase	0.9800
45	synonym_replacement	0.9791
45	homoglyphs	0.9976
45	article_deletion	0.9200
45	misspelling	0.9622
45	number_swap	0.9742
45	whitespace_addition	0.9817
45	upper_lower_swap	0.9959
45	zero_width_space	0.9972
45	insert_paragraphs	0.9558
45	alternative_spelling	0.9711
50	no_attack	0.9745
50	t5_paraphrase	0.9400
50	synonym_replacement	0.9834
50	homoglyphs	0.9957
50	article_deletion	0.9441
50	misspelling	0.9698
50	number_swap	0.9770
50	whitespace_addition	0.9819
50	upper_lower_swap	0.9933
50	zero_width_space	0.9956
50	insert_paragraphs	0.9626
50	alternative_spelling	0.9742
55	no_attack	0.9738
55	t5_paraphrase	0.9200
55	synonym_replacement	0.9835
55	homoglyphs	0.9949
55	article_deletion	0.9487
55	misspelling	0.9717
55	number_swap	0.9767
55	whitespace_addition	0.9832
55	upper_lower_swap	0.9925
55	zero_width_space	0.9950
55	insert_paragraphs	0.9631
55	alternative_spelling	0.9735
60	no_attack	0.9750
60	t5_paraphrase	0.9600
60	synonym_replacement	0.9918
60	homoglyphs	0.9956
60	article_deletion	0.9637
60	misspelling	0.9790
60	number_swap	0.9785
60	whitespace_addition	0.9807
60	upper_lower_swap	0.9945
60	zero_width_space	0.9953
60	insert_paragraphs	0.9703
60	alternative_spelling	0.9748
65	no_attack	0.9739
65	t5_paraphrase	0.9600
65	synonym_replacement	0.9880
65	homoglyphs	0.9934
65	article_deletion	0.9658
65	misspelling	0.9792
65	number_swap	0.9764
65	whitespace_addition	0.9823
65	upper_lower_swap	0.9922
65	zero_width_space	0.9932
65	insert_paragraphs	0.9675
65	alternative_spelling	0.9736
70	no_attack	0.9724
70	t5_paraphrase	0.9400
70	synonym_replacement	0.9833
70	homoglyphs	0.9910
70	article_deletion	0.9596
70	misspelling	0.9742
70	number_swap	0.9746
70	whitespace_addition	0.9806
70	upper_lower_swap	0.9901
70	zero_width_space	0.9908
70	insert_paragraphs	0.9663
70	alternative_spelling	0.9721
75	no_attack	0.9701
75	t5_paraphrase	0.9200
75	synonym_replacement	0.9816
75	homoglyphs	0.9880
75	article_deletion	0.9579
75	misspelling	0.9726
75	number_swap	0.9721
75	whitespace_addition	0.9791
75	upper_lower_swap	0.9864
75	zero_width_space	0.9874
75	insert_paragraphs	0.9649
75	alternative_spelling	0.9698
80	no_attack	0.9719
80	t5_paraphrase	0.9400
80	synonym_replacement	0.9813
80	homoglyphs	0.9869
80	article_deletion	0.9586
80	misspelling	0.9705
80	number_swap	0.9738
80	whitespace_addition	0.9798
80	upper_lower_swap	0.9851
80	zero_width_space	0.9862
80	insert_paragraphs	0.9660
80	alternative_spelling	0.9717
85	no_attack	0.9492
85	t5_paraphrase	0.7600
85	synonym_replacement	0.9570
85	homoglyphs	0.9701
85	article_deletion	0.9372
85	misspelling	0.9547
85	number_swap	0.9518
85	whitespace_addition	0.9593
85	upper_lower_swap	0.9660
85	zero_width_space	0.9671
85	insert_paragraphs	0.9447
85	alternative_spelling	0.9491
90	no_attack	0.9597
90	t5_paraphrase	0.9000
90	synonym_replacement	0.9693
90	homoglyphs	0.9731
90	article_deletion	0.9567
90	misspelling	0.9675
90	number_swap	0.9619
90	whitespace_addition	0.9659
90	upper_lower_swap	0.9704
90	zero_width_space	0.9700
90	insert_paragraphs	0.9587
90	alternative_spelling	0.9595
95	no_attack	0.9732
95	t5_paraphrase	0.9400
95	synonym_replacement	0.9837
95	homoglyphs	0.9847
95	article_deletion	0.9739
95	misspelling	0.9783
95	number_swap	0.9754
95	whitespace_addition	0.9796
95	upper_lower_swap	0.9830
95	zero_width_space	0.9831
95	insert_paragraphs	0.9730
95	alternative_spelling	0.9730
100	no_attack	0.9639
100	t5_paraphrase	0.8200
100	synonym_replacement	0.9732
100	homoglyphs	0.9779
100	article_deletion	0.9587
100	misspelling	0.9643
100	number_swap	0.9654
100	whitespace_addition	0.9717
100	upper_lower_swap	0.9746
100	zero_width_space	0.9775
100	insert_paragraphs	0.9620
100	alternative_spelling	0.9638
105	no_attack	0.9725
105	t5_paraphrase	0.9000
105	synonym_replacement	0.9809
105	homoglyphs	0.9840
105	article_deletion	0.9727
105	misspelling	0.9773
105	number_swap	0.9744
105	whitespace_addition	0.9803
105	upper_lower_swap	0.9811
105	zero_width_space	0.9837
105	insert_paragraphs	0.9724
105	alternative_spelling	0.9724
110	no_attack	0.9557
110	t5_paraphrase	0.9000
110	synonym_replacement	0.9723
110	homoglyphs	0.9729
110	article_deletion	0.9599
110	misspelling	0.9677
110	number_swap	0.9589
110	whitespace_addition	0.9678
110	upper_lower_swap	0.9675
110	zero_width_space	0.9696
110	insert_paragraphs	0.9575
110	alternative_spelling	0.9555
115	no_attack	0.9699
115	t5_paraphrase	0.9400
115	synonym_replacement	0.9816
115	homoglyphs	0.9838
115	article_deletion	0.9681
115	misspelling	0.9733
115	number_swap	0.9721
115	whitespace_addition	0.9797
115	upper_lower_swap	0.9807
115	zero_width_space	0.9818
115	insert_paragraphs	0.9687
115	alternative_spelling	0.9697
120	no_attack	0.9646
120	t5_paraphrase	0.8600
120	synonym_replacement	0.9755
120	homoglyphs	0.9788
120	article_deletion	0.9678
120	misspelling	0.9715
120	number_swap	0.9673
120	whitespace_addition	0.9759
120	upper_lower_swap	0.9743
120	zero_width_space	0.9773
120	insert_paragraphs	0.9666
120	alternative_spelling	0.9642
125	no_attack	0.9728
125	t5_paraphrase	0.9600
125	synonym_replacement	0.9813
125	homoglyphs	0.9844
125	article_deletion	0.9766
125	misspelling	0.9797
125	number_swap	0.9755
125	whitespace_addition	0.9813
125	upper_lower_swap	0.9818
125	zero_width_space	0.9834
125	insert_paragraphs	0.9734
125	alternative_spelling	0.9725
130	no_attack	0.9704
130	t5_paraphrase	0.9000
130	synonym_replacement	0.9782
130	homoglyphs	0.9810
130	article_deletion	0.9724
130	misspelling	0.9770
130	number_swap	0.9722
130	whitespace_addition	0.9791
130	upper_lower_swap	0.9773
130	zero_width_space	0.9778
130	insert_paragraphs	0.9719
130	alternative_spelling	0.9701
135	no_attack	0.9739
135	t5_paraphrase	0.9400
135	synonym_replacement	0.9804
135	homoglyphs	0.9824
135	article_deletion	0.9755
135	misspelling	0.9798
135	number_swap	0.9756
135	whitespace_addition	0.9816
135	upper_lower_swap	0.9801
135	zero_width_space	0.9813
135	insert_paragraphs	0.9741
135	alternative_spelling	0.9736
140	no_attack	0.9597
140	t5_paraphrase	0.9200
140	synonym_replacement	0.9749
140	homoglyphs	0.9763
140	article_deletion	0.9677
140	misspelling	0.9710
140	number_swap	0.9609
140	whitespace_addition	0.9674
140	upper_lower_swap	0.9733
140	zero_width_space	0.9741
140	insert_paragraphs	0.9628
140	alternative_spelling	0.9595
145	no_attack	0.9646
145	t5_paraphrase	0.9000
145	synonym_replacement	0.9709
145	homoglyphs	0.9744
145	article_deletion	0.9685
145	misspelling	0.9723
145	number_swap	0.9667
145	whitespace_addition	0.9723
145	upper_lower_swap	0.9708
145	zero_width_space	0.9735
145	insert_paragraphs	0.9655
145	alternative_spelling	0.9643
150	no_attack	0.9827
150	t5_paraphrase	1.0000
150	synonym_replacement	0.9905
150	homoglyphs	0.9904
150	article_deletion	0.9877
150	misspelling	0.9886
150	number_swap	0.9845
150	whitespace_addition	0.9889
150	upper_lower_swap	0.9896
150	zero_width_space	0.9904
150	insert_paragraphs	0.9846
150	alternative_spelling	0.9825
155	no_attack	0.9683
155	t5_paraphrase	0.9000
155	synonym_replacement	0.9752
155	homoglyphs	0.9767
155	article_deletion	0.9723
155	misspelling	0.9735
155	number_swap	0.9698
155	whitespace_addition	0.9739
155	upper_lower_swap	0.9738
155	zero_width_space	0.9751
155	insert_paragraphs	0.9696
155	alternative_spelling	0.9681
160	no_attack	0.9672
160	t5_paraphrase	0.9000
160	synonym_replacement	0.9764
160	homoglyphs	0.9762
160	article_deletion	0.9715
160	misspelling	0.9732
160	number_swap	0.9692
160	whitespace_addition	0.9745
160	upper_lower_swap	0.9723
160	zero_width_space	0.9742
160	insert_paragraphs	0.9701
160	alternative_spelling	0.9668
165	no_attack	0.9785
165	t5_paraphrase	0.9800
165	synonym_replacement	0.9876
165	homoglyphs	0.9872
165	article_deletion	0.9828
165	misspelling	0.9844
165	number_swap	0.9798
165	whitespace_addition	0.9850
165	upper_lower_swap	0.9849
165	zero_width_space	0.9858
165	insert_paragraphs	0.9800
165	alternative_spelling	0.9782
170	no_attack	0.9696
170	t5_paraphrase	0.9200
170	synonym_replacement	0.9775
170	homoglyphs	0.9768
170	article_deletion	0.9733
170	misspelling	0.9740
170	number_swap	0.9710
170	whitespace_addition	0.9755
170	upper_lower_swap	0.9736
170	zero_width_space	0.9753
170	insert_paragraphs	0.9704
170	alternative_spelling	0.9693
175	no_attack	0.9601
175	t5_paraphrase	0.9200
175	synonym_replacement	0.9687
175	homoglyphs	0.9674
175	article_deletion	0.9652
175	misspelling	0.9636
175	number_swap	0.9615
175	whitespace_addition	0.9690
175	upper_lower_swap	0.9615
175	zero_width_space	0.9645
175	insert_paragraphs	0.9617
175	alternative_spelling	0.9596
