step	generator	AUROC	TPR_at_1pct_FPR
1	chatgpt	0.3077	0.0008
1	cohere	0.3811	0.0030
1	cohere-chat	0.3540	0.0024
1	gpt2	0.3709	0.0121
1	gpt3	0.3312	0.0015
1	gpt4	0.3351	0.0012
1	llama-chat	0.2799	0.0008
1	mistral	0.3899	0.0091
1	mistral-chat	0.3139	0.0008
1	mpt	0.2708	0.0083
1	mpt-chat	0.3150	0.0009
1	MACRO_AVG	0.3318	0.0037
1	GLOBAL_TPR_AT_1FPR	-	0.0030
5	chatgpt	0.4040	0.0008
5	cohere	0.4482	0.0038
5	cohere-chat	0.4202	0.0012
5	gpt2	0.5067	0.0083
5	gpt3	0.4236	0.0045
5	gpt4	0.4396	0.0012
5	llama-chat	0.4316	0.0008
5	mistral	0.4953	0.0038
5	mistral-chat	0.3977	0.0008
5	mpt	0.4899	0.0045
5	mpt-chat	0.4138	0.0015
5	MACRO_AVG	0.4428	0.0028
5	GLOBAL_TPR_AT_1FPR	-	0.0030
10	chatgpt	0.6364	0.0475
10	cohere	0.6211	0.0460
10	cohere-chat	0.7077	0.0515
10	gpt2	0.6247	0.0838
10	gpt3	0.6181	0.0385
10	gpt4	0.7233	0.1097
10	llama-chat	0.6885	0.0815
10	mistral	0.5719	0.0747
10	mistral-chat	0.6167	0.0377
10	mpt	0.4238	0.0694
10	mpt-chat	0.5337	0.0390
10	MACRO_AVG	0.6151	0.0618
10	GLOBAL_TPR_AT_1FPR	-	0.0714
15	chatgpt	0.7664	0.1472
15	cohere	0.7087	0.1117
15	cohere-chat	0.7630	0.1293
15	gpt2	0.6772	0.1464
15	gpt3	0.6863	0.1057
15	gpt4	0.8212	0.2411
15	llama-chat	0.7881	0.2128
15	mistral	0.6445	0.1517
15	mistral-chat	0.7287	0.1253
15	mpt	0.4290	0.0989
15	mpt-chat	0.5909	0.0849
15	MACRO_AVG	0.6913	0.1414
15	GLOBAL_TPR_AT_1FPR	-	0.1464
20	chatgpt	0.8743	0.4558
20	cohere	0.8579	0.3449
20	cohere-chat	0.8797	0.4151
20	gpt2	0.8805	0.3230
20	gpt3	0.8656	0.3162
20	gpt4	0.9052	0.5650
20	llama-chat	0.9216	0.5260
20	mistral	0.8478	0.3600
20	mistral-chat	0.8802	0.4491
20	mpt	0.8394	0.2370
20	mpt-chat	0.7972	0.3075
20	MACRO_AVG	0.8681	0.3909
20	GLOBAL_TPR_AT_1FPR	-	0.4343
25	chatgpt	0.8948	0.5208
25	cohere	0.8740	0.4460
25	cohere-chat	0.8942	0.4300
25	gpt2	0.8982	0.3804
25	gpt3	0.8928	0.4143
25	gpt4	0.9319	0.5989
25	llama-chat	0.9373	0.6415
25	mistral	0.8662	0.4113
25	mistral-chat	0.9039	0.5230
25	mpt	0.8883	0.2747
25	mpt-chat	0.8466	0.3212
25	MACRO_AVG	0.8935	0.4511
25	GLOBAL_TPR_AT_1FPR	-	0.4537
30	chatgpt	0.9439	0.6475
30	cohere	0.9076	0.5721
30	cohere-chat	0.9321	0.5542
30	gpt2	0.9266	0.4611
30	gpt3	0.9300	0.5464
30	gpt4	0.9647	0.7855
30	llama-chat	0.9664	0.7630
30	mistral	0.8978	0.5057
30	mistral-chat	0.9404	0.6272
30	mpt	0.9083	0.3057
30	mpt-chat	0.8946	0.4055
30	MACRO_AVG	0.9284	0.5613
30	GLOBAL_TPR_AT_1FPR	-	0.5689
35	chatgpt	0.9540	0.6151
35	cohere	0.9165	0.5487
35	cohere-chat	0.9437	0.5477
35	gpt2	0.9349	0.4430
35	gpt3	0.9412	0.5155
35	gpt4	0.9689	0.7691
35	llama-chat	0.9701	0.7517
35	mistral	0.9125	0.4755
35	mistral-chat	0.9479	0.6060
35	mpt	0.9133	0.2657
35	mpt-chat	0.9108	0.3826
35	MACRO_AVG	0.9376	0.5382
35	GLOBAL_TPR_AT_1FPR	-	0.5365
40	chatgpt	0.9752	0.6483
40	cohere	0.9466	0.6113
40	cohere-chat	0.9665	0.6642
40	gpt2	0.9537	0.6151
40	gpt3	0.9651	0.5925
40	gpt4	0.9819	0.7878
40	llama-chat	0.9813	0.7728
40	mistral	0.9356	0.5728
40	mistral-chat	0.9663	0.6513
40	mpt	0.9358	0.3313
40	mpt-chat	0.9345	0.4380
40	MACRO_AVG	0.9584	0.6078
40	GLOBAL_TPR_AT_1FPR	-	0.6129
45	chatgpt	0.9760	0.6634
45	cohere	0.9439	0.6166
45	cohere-chat	0.9648	0.6573
45	gpt2	0.9579	0.6294
45	gpt3	0.9663	0.6030
45	gpt4	0.9840	0.7980
45	llama-chat	0.9815	0.7826
45	mistral	0.9380	0.5849
45	mistral-chat	0.9699	0.6604
45	mpt	0.9428	0.3592
45	mpt-chat	0.9454	0.4350
45	MACRO_AVG	0.9610	0.6173
45	GLOBAL_TPR_AT_1FPR	-	0.6134
50	chatgpt	0.9798	0.7042
50	cohere	0.9469	0.6362
50	cohere-chat	0.9692	0.6940
50	gpt2	0.9618	0.6626
50	gpt3	0.9677	0.6264
50	gpt4	0.9855	0.8141
50	llama-chat	0.9811	0.7857
50	mistral	0.9439	0.6121
50	mistral-chat	0.9696	0.6875
50	mpt	0.9514	0.3932
50	mpt-chat	0.9522	0.4803
50	MACRO_AVG	0.9645	0.6451
50	GLOBAL_TPR_AT_1FPR	-	0.6403
55	chatgpt	0.9801	0.7117
55	cohere	0.9505	0.6347
55	cohere-chat	0.9713	0.6958
55	gpt2	0.9597	0.6596
55	gpt3	0.9684	0.6332
55	gpt4	0.9860	0.8313
55	llama-chat	0.9802	0.7864
55	mistral	0.9449	0.6136
55	mistral-chat	0.9690	0.6928
55	mpt	0.9499	0.3970
55	mpt-chat	0.9535	0.4985
55	MACRO_AVG	0.9649	0.6504
55	GLOBAL_TPR_AT_1FPR	-	0.6516
60	chatgpt	0.9811	0.7857
60	cohere	0.9513	0.6800
60	cohere-chat	0.9733	0.7664
60	gpt2	0.9617	0.7487
60	gpt3	0.9735	0.7426
60	gpt4	0.9854	0.8671
60	llama-chat	0.9801	0.8038
60	mistral	0.9488	0.6687
60	mistral-chat	0.9734	0.7517
60	mpt	0.9546	0.6294
60	mpt-chat	0.9651	0.6648
60	MACRO_AVG	0.9680	0.7372
60	GLOBAL_TPR_AT_1FPR	-	0.7368
65	chatgpt	0.9792	0.7992
65	cohere	0.9533	0.6913
65	cohere-chat	0.9732	0.7467
65	gpt2	0.9624	0.7155
65	gpt3	0.9736	0.7275
65	gpt4	0.9851	0.8698
65	llama-chat	0.9777	0.8015
65	mistral	0.9533	0.6649
