step	attack	AUROC
1	no_attack	0.3165
1	t5_paraphrase	0.0000
1	synonym_replacement	0.2712
1	homoglyphs	0.1707
1	article_deletion	0.4657
1	misspelling	0.4638
1	number_swap	0.3185
1	whitespace_addition	0.4909
1	upper_lower_swap	0.3105
1	zero_width_space	0.3505
1	insert_paragraphs	0.3142
1	alternative_spelling	0.3363
5	no_attack	0.5077
5	t5_paraphrase	0.0600
5	synonym_replacement	0.4930
5	homoglyphs	0.3451
5	article_deletion	0.6238
5	misspelling	0.7502
5	number_swap	0.5132
5	whitespace_addition	0.4615
5	upper_lower_swap	0.7436
5	zero_width_space	0.5522
5	insert_paragraphs	0.5441
5	alternative_spelling	0.5281
10	no_attack	0.9441
10	t5_paraphrase	0.9800
10	synonym_replacement	0.8336
10	homoglyphs	0.9268
10	article_deletion	0.9658
10	misspelling	0.9765
10	number_swap	0.9443
10	whitespace_addition	0.9371
10	upper_lower_swap	0.9638
10	zero_width_space	0.9466
10	insert_paragraphs	0.9542
10	alternative_spelling	0.9446
15	no_attack	0.9190
15	t5_paraphrase	0.5600
15	synonym_replacement	0.7457
15	homoglyphs	0.9714
15	article_deletion	0.9754
15	misspelling	0.9692
15	number_swap	0.9177
15	whitespace_addition	0.9490
15	upper_lower_swap	0.9237
15	zero_width_space	0.9546
15	insert_paragraphs	0.9356
15	alternative_spelling	0.9198
20	no_attack	0.9793
20	t5_paraphrase	0.6800
20	synonym_replacement	0.8793
20	homoglyphs	0.9995
20	article_deletion	0.9908
20	misspelling	0.9907
20	number_swap	0.9790
20	whitespace_addition	0.9888
20	upper_lower_swap	0.9951
20	zero_width_space	0.9973
20	insert_paragraphs	0.9817
20	alternative_spelling	0.9793
25	no_attack	0.9941
25	t5_paraphrase	0.9400
25	synonym_replacement	0.9730
25	homoglyphs	0.9999
25	article_deletion	0.9966
25	misspelling	0.9977
25	number_swap	0.9939
25	whitespace_addition	0.9964
25	upper_lower_swap	0.9994
25	zero_width_space	0.9996
25	insert_paragraphs	0.9949
25	alternative_spelling	0.9941
30	no_attack	0.9950
30	t5_paraphrase	0.9800
30	synonym_replacement	0.9872
30	homoglyphs	0.9997
30	article_deletion	0.9966
30	misspelling	0.9975
30	number_swap	0.9950
30	whitespace_addition	0.9971
30	upper_lower_swap	0.9990
30	zero_width_space	0.9993
30	insert_paragraphs	0.9955
30	alternative_spelling	0.9951
35	no_attack	0.9965
35	t5_paraphrase	0.9800
35	synonym_replacement	0.9935
