step	attack	AUROC
80	misspelling	0.9969
80	number_swap	0.9909
80	whitespace_addition	0.9972
80	upper_lower_swap	0.9986
80	zero_width_space	0.9988
80	insert_paragraphs	0.9855
80	alternative_spelling	0.9893
85	no_attack	0.9864
85	t5_paraphrase	1.0000
85	synonym_replacement	0.9920
85	homoglyphs	0.9960
85	article_deletion	0.9891
85	misspelling	0.9941
85	number_swap	0.9876
85	whitespace_addition	0.9941
85	upper_lower_swap	0.9954
85	zero_width_space	0.9955
85	insert_paragraphs	0.9814
85	alternative_spelling	0.9860
90	no_attack	0.9864
90	t5_paraphrase	0.9800
90	synonym_replacement	0.9912
90	homoglyphs	0.9942
90	article_deletion	0.9895
90	misspelling	0.9927
90	number_swap	0.9873
90	whitespace_addition	0.9932
90	upper_lower_swap	0.9931
90	zero_width_space	0.9943
90	insert_paragraphs	0.9808
90	alternative_spelling	0.9862
95	no_attack	0.9902
95	t5_paraphrase	1.0000
95	synonym_replacement	0.9955
95	homoglyphs	0.9977
95	article_deletion	0.9926
95	misspelling	0.9959
95	number_swap	0.9913
95	whitespace_addition	0.9960
95	upper_lower_swap	0.9968
95	zero_width_space	0.9974
95	insert_paragraphs	0.9874
95	alternative_spelling	0.9899
100	no_attack	0.9885
100	t5_paraphrase	1.0000
100	synonym_replacement	0.9908
100	homoglyphs	0.9945
100	article_deletion	0.9880
100	misspelling	0.9930
100	number_swap	0.9893
100	whitespace_addition	0.9940
100	upper_lower_swap	0.9942
100	zero_width_space	0.9947
100	insert_paragraphs	0.9849
100	alternative_spelling	0.9882
105	no_attack	0.9881
105	t5_paraphrase	1.0000
105	synonym_replacement	0.9921
105	homoglyphs	0.9947
105	article_deletion	0.9902
105	misspelling	0.9940
105	number_swap	0.9888
105	whitespace_addition	0.9931
105	upper_lower_swap	0.9946
105	zero_width_space	0.9947
105	insert_paragraphs	0.9855
105	alternative_spelling	0.9878
110	no_attack	0.9901
110	t5_paraphrase	1.0000
110	synonym_replacement	0.9947
110	homoglyphs	0.9956
110	article_deletion	0.9920
110	misspelling	0.9951
110	number_swap	0.9907
110	whitespace_addition	0.9948
110	upper_lower_swap	0.9955
110	zero_width_space	0.9958
110	insert_paragraphs	0.9864
110	alternative_spelling	0.9898
115	no_attack	0.9889
115	t5_paraphrase	1.0000
115	synonym_replacement	0.9935
115	homoglyphs	0.9949
115	article_deletion	0.9921
115	misspelling	0.9938
115	number_swap	0.9899
115	whitespace_addition	0.9943
115	upper_lower_swap	0.9940
115	zero_width_space	0.9955
115	insert_paragraphs	0.9858
115	alternative_spelling	0.9887
120	no_attack	0.9885
120	t5_paraphrase	0.9800
120	synonym_replacement	0.9930
120	homoglyphs	0.9960
120	article_deletion	0.9941
120	misspelling	0.9941
120	number_swap	0.9895
