step	generator	AUROC	TPR_at_1pct_FPR
55	mistral	0.9745	0.8099
55	mistral-chat	0.9988	0.9669
55	mpt	0.9707	0.7355
55	mpt-chat	0.9962	0.9008
55	MACRO_AVG	0.9873	0.8941
55	GLOBAL_TPR_AT_1FPR	-	0.8430
60	chatgpt	0.9990	0.9587
60	cohere	0.9686	0.8264
60	cohere-chat	0.9917	0.8678
60	gpt2	0.9782	0.8182
60	gpt3	0.9917	0.8843
60	gpt4	0.9997	0.9917
60	llama-chat	0.9980	0.9421
60	mistral	0.9794	0.8017
60	mistral-chat	0.9990	0.9669
60	mpt	0.9714	0.4793
60	mpt-chat	0.9962	0.9091
60	MACRO_AVG	0.9884	0.8588
60	GLOBAL_TPR_AT_1FPR	-	0.8212
65	chatgpt	0.9992	0.9835
65	cohere	0.9678	0.8430
65	cohere-chat	0.9935	0.8926
65	gpt2	0.9783	0.8264
65	gpt3	0.9909	0.8926
65	gpt4	0.9998	0.9917
65	llama-chat	0.9977	0.9421
65	mistral	0.9766	0.8017
65	mistral-chat	0.9991	0.9752
65	mpt	0.9718	0.5620
65	mpt-chat	0.9958	0.9008
65	MACRO_AVG	0.9883	0.8738
65	GLOBAL_TPR_AT_1FPR	-	0.8400
70	chatgpt	0.9992	0.9835
70	cohere	0.9751	0.8512
70	cohere-chat	0.9948	0.9091
70	gpt2	0.9707	0.8512
70	gpt3	0.9936	0.9174
70	gpt4	0.9999	1.0000
70	llama-chat	0.9979	0.9421
70	mistral	0.9786	0.8430
70	mistral-chat	0.9990	0.9752
70	mpt	0.9719	0.6281
70	mpt-chat	0.9970	0.9504
70	MACRO_AVG	0.9889	0.8956
70	GLOBAL_TPR_AT_1FPR	-	0.8452
75	chatgpt	0.9968	0.9587
75	cohere	0.9751	0.8264
75	cohere-chat	0.9937	0.9008
75	gpt2	0.9665	0.7851
75	gpt3	0.9908	0.9008
75	gpt4	0.9987	0.9669
75	llama-chat	0.9958	0.9256
75	mistral	0.9807	0.8017
75	mistral-chat	0.9967	0.9256
75	mpt	0.9558	0.3471
75	mpt-chat	0.9947	0.8843
75	MACRO_AVG	0.9859	0.8385
75	GLOBAL_TPR_AT_1FPR	-	0.7904
80	chatgpt	0.9993	0.9835
80	cohere	0.9820	0.8430
80	cohere-chat	0.9959	0.9091
