step	generator	AUROC	TPR_at_1pct_FPR
20	cohere-chat	0.9622	0.5537
20	gpt2	0.9319	0.4938
20	gpt3	0.9749	0.5805
20	gpt4	0.9927	0.8323
20	llama-chat	0.9962	0.9024
20	mistral	0.9256	0.5022
20	mistral-chat	0.9874	0.6906
20	mpt	0.9339	0.6063
20	mpt-chat	0.9757	0.4464
20	MACRO_AVG	0.9638	0.6124
20	GLOBAL_TPR_AT_1FPR	-	0.6106
25	chatgpt	0.9897	0.7209
25	cohere	0.9557	0.6326
25	cohere-chat	0.9717	0.6784
25	gpt2	0.9485	0.6634
25	gpt3	0.9835	0.6812
25	gpt4	0.9957	0.8993
25	llama-chat	0.9965	0.9366
25	mistral	0.9393	0.6323
25	mistral-chat	0.9916	0.8138
25	mpt	0.9404	0.6546
25	mpt-chat	0.9840	0.6311
25	MACRO_AVG	0.9724	0.7222
25	GLOBAL_TPR_AT_1FPR	-	0.7223
30	chatgpt	0.9941	0.8290
30	cohere	0.9652	0.6824
30	cohere-chat	0.9787	0.7342
30	gpt2	0.9669	0.7451
30	gpt3	0.9871	0.7083
30	gpt4	0.9976	0.9547
30	llama-chat	0.9971	0.9375
30	mistral	0.9471	0.6862
30	mistral-chat	0.9945	0.8781
30	mpt	0.9539	0.4796
30	mpt-chat	0.9899	0.7412
30	MACRO_AVG	0.9793	0.7615
30	GLOBAL_TPR_AT_1FPR	-	0.7560
35	chatgpt	0.9943	0.8485
35	cohere	0.9637	0.7195
35	cohere-chat	0.9783	0.7593
35	gpt2	0.9699	0.7461
35	gpt3	0.9904	0.7421
35	gpt4	0.9976	0.9847
35	llama-chat	0.9964	0.9385
35	mistral	0.9662	0.6909
35	mistral-chat	0.9949	0.8874
35	mpt	0.9477	0.4114
35	mpt-chat	0.9914	0.7155
35	MACRO_AVG	0.9810	0.7676
35	GLOBAL_TPR_AT_1FPR	-	0.7554
40	chatgpt	0.9960	0.9158
40	cohere	0.9668	0.7476
40	cohere-chat	0.9799	0.7821
40	gpt2	0.9773	0.7824
40	gpt3	0.9927	0.8004
40	gpt4	0.9985	0.9914
40	llama-chat	0.9975	0.9417
40	mistral	0.9713	0.7122
40	mistral-chat	0.9966	0.9230
40	mpt	0.9496	0.4519
40	mpt-chat	0.9943	0.8248
40	MACRO_AVG	0.9837	0.8067
40	GLOBAL_TPR_AT_1FPR	-	0.7952
45	chatgpt	0.9974	0.9540
45	cohere	0.9715	0.7397
45	cohere-chat	0.9846	0.7829
45	gpt2	0.9834	0.7905
45	gpt3	0.9938	0.8451
45	gpt4	0.9993	0.9933
45	llama-chat	0.9980	0.9443
45	mistral	0.9757	0.7206
45	mistral-chat	0.9978	0.9498
45	mpt	0.9597	0.5727
45	mpt-chat	0.9958	0.9092
45	MACRO_AVG	0.9870	0.8365
45	GLOBAL_TPR_AT_1FPR	-	0.8291
50	chatgpt	0.9937	0.9199
50	cohere	0.9677	0.7562
50	cohere-chat	0.9806	0.7802
50	gpt2	0.9823	0.7639
50	gpt3	0.9876	0.7846
50	gpt4	0.9960	0.9839
50	llama-chat	0.9938	0.9379
50	mistral	0.9747	0.7438
50	mistral-chat	0.9939	0.9144
50	mpt	0.9518	0.4146
50	mpt-chat	0.9915	0.8048
50	MACRO_AVG	0.9831	0.8004
50	GLOBAL_TPR_AT_1FPR	-	0.7878
55	chatgpt	0.9954	0.9431
55	cohere	0.9753	0.7772
55	cohere-chat	0.9855	0.8229
55	gpt2	0.9851	0.7864
55	gpt3	0.9902	0.8211
55	gpt4	0.9970	0.9772
55	llama-chat	0.9960	0.9482
55	mistral	0.9785	0.7644
55	mistral-chat	0.9957	0.9365
55	mpt	0.9550	0.4366
55	mpt-chat	0.9938	0.8717
55	MACRO_AVG	0.9861	0.8259
55	GLOBAL_TPR_AT_1FPR	-	0.8140
60	chatgpt	0.9981	0.9850
60	cohere	0.9783	0.8296
60	cohere-chat	0.9881	0.8585
60	gpt2	0.9857	0.8663
60	gpt3	0.9961	0.9195
60	gpt4	0.9991	0.9978
60	llama-chat	0.9986	0.9632
60	mistral	0.9823	0.8122
60	mistral-chat	0.9983	0.9745
60	mpt	0.9592	0.7581
60	mpt-chat	0.9973	0.9640
60	MACRO_AVG	0.9892	0.9026
60	GLOBAL_TPR_AT_1FPR	-	0.8983
65	chatgpt	0.9979	0.9832
65	cohere	0.9773	0.8277
65	cohere-chat	0.9869	0.8487
65	gpt2	0.9864	0.8732
65	gpt3	0.9959	0.9113
65	gpt4	0.9990	0.9970
65	llama-chat	0.9983	0.9605
65	mistral	0.9827	0.8145
65	mistral-chat	0.9981	0.9723
65	mpt	0.9618	0.7503
65	mpt-chat	0.9974	0.9664
65	MACRO_AVG	0.9892	0.9005
65	GLOBAL_TPR_AT_1FPR	-	0.8968
70	chatgpt	0.9977	0.9790
70	cohere	0.9799	0.8221
70	cohere-chat	0.9880	0.8469
70	gpt2	0.9906	0.8603
70	gpt3	0.9951	0.8955
70	gpt4	0.9990	0.9970
70	llama-chat	0.9981	0.9589
70	mistral	0.9843	0.8102
70	mistral-chat	0.9981	0.9668
70	mpt	0.9716	0.6284
70	mpt-chat	0.9971	0.9578
70	MACRO_AVG	0.9909	0.8839
70	GLOBAL_TPR_AT_1FPR	-	0.8771
75	chatgpt	0.9970	0.9772
75	cohere	0.9803	0.8352
75	cohere-chat	0.9884	0.8600
75	gpt2	0.9907	0.8447
75	gpt3	0.9939	0.8718
75	gpt4	0.9985	0.9959
75	llama-chat	0.9968	0.9512
75	mistral	0.9853	0.8120
75	mistral-chat	0.9972	0.9560
75	mpt	0.9738	0.5666
75	mpt-chat	0.9960	0.9323
75	MACRO_AVG	0.9907	0.8730
75	GLOBAL_TPR_AT_1FPR	-	0.8631
80	chatgpt	0.9967	0.9746
80	cohere	0.9764	0.8307
80	cohere-chat	0.9855	0.8607
80	gpt2	0.9922	0.8691
80	gpt3	0.9938	0.8805
80	gpt4	0.9980	0.9963
80	llama-chat	0.9958	0.9478
80	mistral	0.9865	0.8324
80	mistral-chat	0.9969	0.9590
80	mpt	0.9811	0.6584
80	mpt-chat	0.9962	0.9419
80	MACRO_AVG	0.9908	0.8865
80	GLOBAL_TPR_AT_1FPR	-	0.8803
85	chatgpt	0.9961	0.9147
85	cohere	0.9766	0.7865
85	cohere-chat	0.9846	0.7952
85	gpt2	0.9915	0.8091
85	gpt3	0.9909	0.8026
85	gpt4	0.9976	0.9727
85	llama-chat	0.9957	0.9056
85	mistral	0.9850	0.7816
85	mistral-chat	0.9962	0.9135
85	mpt	0.9750	0.5147
85	mpt-chat	0.9950	0.8517
85	MACRO_AVG	0.9895	0.8225
85	GLOBAL_TPR_AT_1FPR	-	0.8136
90	chatgpt	0.9984	0.9877
90	cohere	0.9838	0.8322
90	cohere-chat	0.9899	0.8551
90	gpt2	0.9943	0.8888
90	gpt3	0.9952	0.8898
90	gpt4	0.9989	0.9959
90	llama-chat	0.9987	0.9706
90	mistral	0.9853	0.8208
90	mistral-chat	0.9984	0.9670
90	mpt	0.9811	0.6842
90	mpt-chat	0.9972	0.9321
90	MACRO_AVG	0.9928	0.8931
90	GLOBAL_TPR_AT_1FPR	-	0.8878
95	chatgpt	0.9984	0.9869
95	cohere	0.9852	0.8401
95	cohere-chat	0.9904	0.8660
95	gpt2	0.9951	0.9122
95	gpt3	0.9961	0.8944
95	gpt4	0.9990	0.9978
95	llama-chat	0.9988	0.9770
95	mistral	0.9896	0.8601
95	mistral-chat	0.9986	0.9753
95	mpt	0.9825	0.7572
95	mpt-chat	0.9979	0.9572
95	MACRO_AVG	0.9938	0.9113
95	GLOBAL_TPR_AT_1FPR	-	0.9098
100	chatgpt	0.9985	0.9906
100	cohere	0.9841	0.8412
100	cohere-chat	0.9899	0.8742
100	gpt2	0.9949	0.9179
100	gpt3	0.9963	0.9038
100	gpt4	0.9990	0.9978
100	llama-chat	0.9987	0.9755
100	mistral	0.9896	0.8584
100	mistral-chat	0.9987	0.9790
100	mpt	0.9820	0.7826
100	mpt-chat	0.9981	0.9702
100	MACRO_AVG	0.9936	0.9174
100	GLOBAL_TPR_AT_1FPR	-	0.9163
105	chatgpt	0.9986	0.9944
105	cohere	0.9834	0.8648
105	cohere-chat	0.9899	0.8955
105	gpt2	0.9959	0.9449
105	gpt3	0.9966	0.9440
105	gpt4	0.9991	0.9985
105	llama-chat	0.9987	0.9843
105	mistral	0.9907	0.8940
105	mistral-chat	0.9988	0.9875
105	mpt	0.9845	0.8851
105	mpt-chat	0.9984	0.9831
105	MACRO_AVG	0.9940	0.9433
105	GLOBAL_TPR_AT_1FPR	-	0.9445
110	chatgpt	0.9993	0.9955
110	cohere	0.9866	0.8794
110	cohere-chat	0.9922	0.9128
110	gpt2	0.9961	0.9505
110	gpt3	0.9973	0.9688
110	gpt4	0.9995	0.9978
110	llama-chat	0.9995	0.9957
110	mistral	0.9889	0.8827
110	mistral-chat	0.9993	0.9944
110	mpt	0.9822	0.8840
110	mpt-chat	0.9987	0.9820
110	MACRO_AVG	0.9945	0.9494
110	GLOBAL_TPR_AT_1FPR	-	0.9491
115	chatgpt	0.9967	0.9895
115	cohere	0.9842	0.8513
115	cohere-chat	0.9907	0.8757
115	gpt2	0.9938	0.9004
115	gpt3	0.9942	0.8932
115	gpt4	0.9975	0.9948
115	llama-chat	0.9965	0.9596
115	mistral	0.9890	0.8650
115	mistral-chat	0.9969	0.9713
115	mpt	0.9754	0.6336
115	mpt-chat	0.9966	0.9634
115	MACRO_AVG	0.9920	0.8998
