step	attack	AUROC
45	zero_width_space	0.9997
45	insert_paragraphs	0.9900
45	alternative_spelling	0.9979
50	no_attack	0.9937
50	t5_paraphrase	1.0000
50	synonym_replacement	0.9835
50	homoglyphs	0.9969
50	article_deletion	0.9901
50	misspelling	0.9949
50	number_swap	0.9938
50	whitespace_addition	0.9955
50	upper_lower_swap	0.9975
50	zero_width_space	0.9962
50	insert_paragraphs	0.9855
50	alternative_spelling	0.9937
55	no_attack	0.9958
55	t5_paraphrase	1.0000
55	synonym_replacement	0.9891
55	homoglyphs	0.9981
55	article_deletion	0.9927
55	misspelling	0.9964
55	number_swap	0.9958
55	whitespace_addition	0.9969
55	upper_lower_swap	0.9981
55	zero_width_space	0.9969
55	insert_paragraphs	0.9910
55	alternative_spelling	0.9958
60	no_attack	0.9985
60	t5_paraphrase	1.0000
60	synonym_replacement	0.9971
60	homoglyphs	0.9987
60	article_deletion	0.9975
60	misspelling	0.9982
60	number_swap	0.9985
60	whitespace_addition	0.9988
60	upper_lower_swap	0.9989
60	zero_width_space	0.9985
60	insert_paragraphs	0.9956
60	alternative_spelling	0.9985
65	no_attack	0.9982
65	t5_paraphrase	1.0000
65	synonym_replacement	0.9971
65	homoglyphs	0.9991
65	article_deletion	0.9974
65	misspelling	0.9981
65	number_swap	0.9981
65	whitespace_addition	0.9988
65	upper_lower_swap	0.9989
65	zero_width_space	0.9987
65	insert_paragraphs	0.9952
65	alternative_spelling	0.9982
70	no_attack	0.9980
70	t5_paraphrase	1.0000
70	synonym_replacement	0.9966
70	homoglyphs	0.9988
70	article_deletion	0.9955
70	misspelling	0.9969
70	number_swap	0.9979
70	whitespace_addition	0.9980
70	upper_lower_swap	0.9981
70	zero_width_space	0.9981
70	insert_paragraphs	0.9948
70	alternative_spelling	0.9980
75	no_attack	0.9966
75	t5_paraphrase	1.0000
75	synonym_replacement	0.9951
75	homoglyphs	0.9991
75	article_deletion	0.9950
75	misspelling	0.9977
75	number_swap	0.9966
75	whitespace_addition	0.9978
75	upper_lower_swap	0.9986
75	zero_width_space	0.9988
75	insert_paragraphs	0.9936
75	alternative_spelling	0.9966
80	no_attack	0.9956
80	t5_paraphrase	1.0000
80	synonym_replacement	0.9964
80	homoglyphs	0.9986
80	article_deletion	0.9967
80	misspelling	0.9983
80	number_swap	0.9957
80	whitespace_addition	0.9968
80	upper_lower_swap	0.9981
80	zero_width_space	0.9985
80	insert_paragraphs	0.9928
80	alternative_spelling	0.9956
85	no_attack	0.9956
85	t5_paraphrase	1.0000
85	synonym_replacement	0.9928
85	homoglyphs	0.9983
85	article_deletion	0.9959
85	misspelling	0.9977
85	number_swap	0.9957
