step	generator	AUROC
155	gpt-4.5-preview	0.9980
155	gpt-4o	0.9999
155	gpt-4o-mini	0.9999
155	llama-2-70b-chat	0.9974
155	llama-2-7b-chat	0.9967
155	llama-3.1-8b-instruct	0.9929
155	llama-3.3-70b-instruct	0.9993
155	ministral-8b-instruct-2410	0.9997
155	mistral-7b-instruct-v0.2	0.9965
155	mixtral-8x7b-instruct-v0.1	0.9947
155	o3-mini	0.9999
155	qwen1.5-72b-chat-8bit	0.9995
155	text-bison-002	0.9992
155	MACRO_AVG	0.9960
160	deepseek-r1-distill-qwen-32b	0.9998
160	falcon3-10b-instruct	0.9992
160	gemini-1.5-pro	0.9689
160	gemini-2.0-flash	0.9998
160	gemini-pro	0.9851
160	gemini-pro-paraphrase	0.9884
160	gpt-3.5-turbo	0.9999
160	gpt-4-turbo	1.0000
160	gpt-4-turbo-paraphrase	0.9963
160	gpt-4.5-preview	0.9980
160	gpt-4o	0.9999
160	gpt-4o-mini	0.9999
160	llama-2-70b-chat	0.9974
160	llama-2-7b-chat	0.9967
160	llama-3.1-8b-instruct	0.9929
160	llama-3.3-70b-instruct	0.9993
160	ministral-8b-instruct-2410	0.9997
160	mistral-7b-instruct-v0.2	0.9965
160	mixtral-8x7b-instruct-v0.1	0.9947
160	o3-mini	0.9999
160	qwen1.5-72b-chat-8bit	0.9995
160	text-bison-002	0.9992
160	MACRO_AVG	0.9960
