step	attack	AUROC
80	misspelling	0.9989
80	number_swap	0.9961
80	whitespace_addition	0.9984
80	upper_lower_swap	0.9996
80	zero_width_space	0.9996
80	insert_paragraphs	0.9963
80	alternative_spelling	0.9961
85	no_attack	0.9961
85	t5_paraphrase	0.9800
85	synonym_replacement	0.9951
85	homoglyphs	0.9999
85	article_deletion	0.9981
85	misspelling	0.9988
85	number_swap	0.9961
85	whitespace_addition	0.9984
85	upper_lower_swap	0.9996
85	zero_width_space	0.9996
85	insert_paragraphs	0.9963
85	alternative_spelling	0.9961
90	no_attack	0.9961
90	t5_paraphrase	0.9800
90	synonym_replacement	0.9951
90	homoglyphs	0.9998
90	article_deletion	0.9981
90	misspelling	0.9987
90	number_swap	0.9961
90	whitespace_addition	0.9983
90	upper_lower_swap	0.9997
90	zero_width_space	0.9996
90	insert_paragraphs	0.9964
90	alternative_spelling	0.9961
95	no_attack	0.9961
95	t5_paraphrase	0.9800
95	synonym_replacement	0.9951
95	homoglyphs	0.9998
95	article_deletion	0.9980
95	misspelling	0.9988
95	number_swap	0.9961
95	whitespace_addition	0.9983
95	upper_lower_swap	0.9996
95	zero_width_space	0.9997
95	insert_paragraphs	0.9963
95	alternative_spelling	0.9961
100	no_attack	0.9961
100	t5_paraphrase	0.9800
100	synonym_replacement	0.9950
100	homoglyphs	0.9998
100	article_deletion	0.9981
100	misspelling	0.9987
100	number_swap	0.9961
100	whitespace_addition	0.9983
100	upper_lower_swap	0.9996
100	zero_width_space	0.9997
100	insert_paragraphs	0.9966
100	alternative_spelling	0.9961
105	no_attack	0.9961
105	t5_paraphrase	0.9800
105	synonym_replacement	0.9952
105	homoglyphs	0.9999
105	article_deletion	0.9981
105	misspelling	0.9986
105	number_swap	0.9961
105	whitespace_addition	0.9984
105	upper_lower_swap	0.9996
105	zero_width_space	0.9996
105	insert_paragraphs	0.9964
105	alternative_spelling	0.9961
110	no_attack	0.9961
110	t5_paraphrase	0.9800
110	synonym_replacement	0.9951
110	homoglyphs	0.9998
110	article_deletion	0.9981
110	misspelling	0.9984
110	number_swap	0.9961
110	whitespace_addition	0.9984
110	upper_lower_swap	0.9996
110	zero_width_space	0.9996
110	insert_paragraphs	0.9965
110	alternative_spelling	0.9962
115	no_attack	0.9961
115	t5_paraphrase	0.9800
115	synonym_replacement	0.9951
115	homoglyphs	0.9998
115	article_deletion	0.9980
115	misspelling	0.9988
115	number_swap	0.9961
115	whitespace_addition	0.9983
115	upper_lower_swap	0.9996
115	zero_width_space	0.9996
115	insert_paragraphs	0.9963
115	alternative_spelling	0.9961
120	no_attack	0.9961
120	t5_paraphrase	0.9800
120	synonym_replacement	0.9951
120	homoglyphs	0.9998
120	article_deletion	0.9980
120	misspelling	0.9988
120	number_swap	0.9961
120	whitespace_addition	0.9984
120	upper_lower_swap	0.9997
120	zero_width_space	0.9996
120	insert_paragraphs	0.9965
120	alternative_spelling	0.9961
125	no_attack	0.9961
125	t5_paraphrase	0.9800
125	synonym_replacement	0.9952
125	homoglyphs	0.9998
125	article_deletion	0.9980
125	misspelling	0.9988
125	number_swap	0.9961
125	whitespace_addition	0.9983
125	upper_lower_swap	0.9996
125	zero_width_space	0.9996
125	insert_paragraphs	0.9965
125	alternative_spelling	0.9961
130	no_attack	0.9961
130	t5_paraphrase	0.9800
130	synonym_replacement	0.9951
130	homoglyphs	0.9998
130	article_deletion	0.9980
130	misspelling	0.9988
130	number_swap	0.9961
130	whitespace_addition	0.9984
130	upper_lower_swap	0.9996
130	zero_width_space	0.9996
130	insert_paragraphs	0.9962
130	alternative_spelling	0.9961
135	no_attack	0.9961
135	t5_paraphrase	0.9800
135	synonym_replacement	0.9951
135	homoglyphs	0.9998
135	article_deletion	0.9981
135	misspelling	0.9987
135	number_swap	0.9961
135	whitespace_addition	0.9983
135	upper_lower_swap	0.9997
135	zero_width_space	0.9997
135	insert_paragraphs	0.9966
135	alternative_spelling	0.9961
140	no_attack	0.9961
140	t5_paraphrase	0.9800
140	synonym_replacement	0.9950
140	homoglyphs	0.9998
140	article_deletion	0.9980
140	misspelling	0.9987
140	number_swap	0.9961
140	whitespace_addition	0.9982
140	upper_lower_swap	0.9997
140	zero_width_space	0.9996
140	insert_paragraphs	0.9966
140	alternative_spelling	0.9961
145	no_attack	0.9961
145	t5_paraphrase	0.9800
145	synonym_replacement	0.9952
145	homoglyphs	0.9998
145	article_deletion	0.9980
145	misspelling	0.9987
145	number_swap	0.9961
145	whitespace_addition	0.9983
145	upper_lower_swap	0.9996
145	zero_width_space	0.9996
145	insert_paragraphs	0.9962
145	alternative_spelling	0.9961
150	no_attack	0.9961
150	t5_paraphrase	0.9800
150	synonym_replacement	0.9950
150	homoglyphs	0.9998
150	article_deletion	0.9981
150	misspelling	0.9988
150	number_swap	0.9961
150	whitespace_addition	0.9984
150	upper_lower_swap	0.9996
150	zero_width_space	0.9996
150	insert_paragraphs	0.9964
150	alternative_spelling	0.9961
155	no_attack	0.9961
155	t5_paraphrase	0.9800
155	synonym_replacement	0.9951
155	homoglyphs	0.9998
155	article_deletion	0.9980
155	misspelling	0.9987
155	number_swap	0.9961
155	whitespace_addition	0.9984
155	upper_lower_swap	0.9996
155	zero_width_space	0.9996
155	insert_paragraphs	0.9965
155	alternative_spelling	0.9961
160	no_attack	0.9961
160	t5_paraphrase	0.9800
160	synonym_replacement	0.9951
160	homoglyphs	0.9998
160	article_deletion	0.9980
160	misspelling	0.9988
160	number_swap	0.9961
160	whitespace_addition	0.9984
160	upper_lower_swap	0.9996
160	zero_width_space	0.9997
160	insert_paragraphs	0.9965
160	alternative_spelling	0.9961
165	no_attack	0.9961
165	t5_paraphrase	0.9800
165	synonym_replacement	0.9950
165	homoglyphs	0.9998
165	article_deletion	0.9981
165	misspelling	0.9988
165	number_swap	0.9961
165	whitespace_addition	0.9983
165	upper_lower_swap	0.9996
165	zero_width_space	0.9996
165	insert_paragraphs	0.9965
165	alternative_spelling	0.9962
170	no_attack	0.9961
170	t5_paraphrase	0.9800
170	synonym_replacement	0.9949
170	homoglyphs	0.9998
170	article_deletion	0.9981
170	misspelling	0.9987
170	number_swap	0.9961
170	whitespace_addition	0.9983
170	upper_lower_swap	0.9996
170	zero_width_space	0.9997
170	insert_paragraphs	0.9965
170	alternative_spelling	0.9961
